"","x"
"1",2.47
"2",2.66
"3",1.05
"4",1.01
"5",1.29
"6",1.55
"7",1.36
"8",1.19
"9",1.78
"10",1.86
"11",1.09
"12",1.71
"13",1.25
"14",2.16
"15",4.81
"16",1.39
"17",1.26
"18",2.71
"19",1.02
"20",1
"21",3.61
"22",1.36
"23",1.35
"24",2.08
"25",1.45
"26",1.11
"27",1.52
"28",1.04
"29",1.86
"30",1.1
"31",1.11
"32",1.1
"33",1.06
"34",2.2
"35",1.75
"36",2.16
"37",2.42
"38",1.38
"39",1.04
"40",1.01
"41",1.81
"42",1.07
"43",1.99
"44",1.17
"45",2.59
"46",1.15
"47",2.75
"48",2.9
"49",1.55
"50",2.62
"51",1.01
"52",1.41
"53",2.77
"54",2
"55",1.19
"56",1.89
"57",1.01
"58",2
"59",6.68
"60",1.05
"61",2.4
"62",1.09
"63",1.86
"64",1.08
"65",1.03
"66",1.22
"67",1.41
"68",1.01
"69",1.05
"70",2.32
